hour,area,cont,contour,hour_text
10,83,Derrimut,10,10:00
11,1302,Derrimut,30,11:00
11,508,Derrimut,20,11:00
11,84,Derrimut,10,11:00
12,1286,Derrimut,30,12:00
12,495,Derrimut,20,12:00
12,79,Derrimut,10,12:00
13,1276,Derrimut,30,13:00
13,492,Derrimut,20,13:00
13,80,Derrimut,10,13:00
14,1276,Derrimut,30,14:00
14,495,Derrimut,20,14:00
14,77,Derrimut,10,14:00
15,1086,Derrimut,30,15:00
15,436,Derrimut,20,15:00
15,70,Derrimut,10,15:00
16,950,Derrimut,30,16:00
16,410,Derrimut,20,16:00
16,64,Derrimut,10,16:00
17,924,Derrimut,30,17:00
17,387,Derrimut,20,17:00
17,63,Derrimut,10,17:00
18,1100,Derrimut,30,18:00
18,448,Derrimut,20,18:00
18,76,Derrimut,10,18:00
19,1427,Derrimut,30,19:00
19,590,Derrimut,20,19:00
19,90,Derrimut,10,19:00
20,1453,Derrimut,30,20:00
20,618,Derrimut,20,20:00
20,95,Derrimut,10,20:00
21,1482,Derrimut,30,21:00
21,632,Derrimut,20,21:00
21,99,Derrimut,10,21:00
22,1431,Derrimut,30,22:00
22,580,Derrimut,20,22:00
22,97,Derrimut,10,22:00
23,1440,Derrimut,30,23:00
23,619,Derrimut,20,23:00
23,90,Derrimut,10,23:00
00,1549,Port of Melbourne,30,00:00
00,560,Port of Melbourne,20,00:00
00,97,Port of Melbourne,10,00:00
01,1622,Port of Melbourne,30,01:00
01,611,Port of Melbourne,20,01:00
01,105,Port of Melbourne,10,01:00
02,1659,Port of Melbourne,30,02:00
02,611,Port of Melbourne,20,02:00
02,103,Port of Melbourne,10,02:00
03,1598,Port of Melbourne,30,03:00
03,599,Port of Melbourne,20,03:00
03,100,Port of Melbourne,10,03:00
04,1661,Port of Melbourne,30,04:00
04,628,Port of Melbourne,20,04:00
04,108,Port of Melbourne,10,04:00
05,1651,Port of Melbourne,30,05:00
05,633,Port of Melbourne,20,05:00
05,108,Port of Melbourne,10,05:00
06,1515,Port of Melbourne,30,06:00
06,567,Port of Melbourne,20,06:00
06,94,Port of Melbourne,10,06:00
07,1424,Port of Melbourne,30,07:00
07,517,Port of Melbourne,20,07:00
07,79,Port of Melbourne,10,07:00
08,1283,Port of Melbourne,30,08:00
08,444,Port of Melbourne,20,08:00
08,62,Port of Melbourne,10,08:00
09,1309,Port of Melbourne,30,09:00
09,455,Port of Melbourne,20,09:00
09,62,Port of Melbourne,10,09:00
10,1373,Port of Melbourne,30,10:00
10,484,Port of Melbourne,20,10:00
10,66,Port of Melbourne,10,10:00
11,1371,Port of Melbourne,30,11:00
11,495,Port of Melbourne,20,11:00
11,67,Port of Melbourne,10,11:00
12,1365,Port of Melbourne,30,12:00
12,485,Port of Melbourne,20,12:00
12,67,Port of Melbourne,10,12:00
13,1352,Port of Melbourne,30,13:00
13,491,Port of Melbourne,20,13:00
13,66,Port of Melbourne,10,13:00
14,1346,Port of Melbourne,30,14:00
14,478,Port of Melbourne,20,14:00
14,64,Port of Melbourne,10,14:00
15,1102,Port of Melbourne,30,15:00
15,396,Port of Melbourne,20,15:00
15,58,Port of Melbourne,10,15:00
16,952,Port of Melbourne,30,16:00
16,375,Port of Melbourne,20,16:00
16,57,Port of Melbourne,10,16:00
17,962,Port of Melbourne,30,17:00
17,361,Port of Melbourne,20,17:00
17,54,Port of Melbourne,10,17:00
18,1236,Port of Melbourne,30,18:00
18,432,Port of Melbourne,20,18:00
18,64,Port of Melbourne,10,18:00
19,1492,Port of Melbourne,30,19:00
19,535,Port of Melbourne,20,19:00
19,80,Port of Melbourne,10,19:00
20,1526,Port of Melbourne,30,20:00
20,563,Port of Melbourne,20,20:00
20,90,Port of Melbourne,10,20:00
21,1511,Port of Melbourne,30,21:00
21,547,Port of Melbourne,20,21:00
21,91,Port of Melbourne,10,21:00
22,1525,Port of Melbourne,30,22:00
22,551,Port of Melbourne,20,22:00
22,89,Port of Melbourne,10,22:00
23,1532,Port of Melbourne,30,23:00
23,544,Port of Melbourne,20,23:00
23,92,Port of Melbourne,10,23:00
00,1246,Laverton,30,00:00
00,470,Laverton,20,00:00
00,112,Laverton,10,00:00
01,1303,Laverton,30,01:00
01,466,Laverton,20,01:00
01,117,Laverton,10,01:00
02,1329,Laverton,30,02:00
02,473,Laverton,20,02:00
02,120,Laverton,10,02:00
03,1312,Laverton,30,03:00
03,487,Laverton,20,03:00
03,123,Laverton,10,03:00
04,1298,Laverton,30,04:00
04,473,Laverton,20,04:00
04,116,Laverton,10,04:00
05,1324,Laverton,30,05:00
05,485,Laverton,20,05:00
05,122,Laverton,10,05:00
06,1199,Laverton,30,06:00
06,441,Laverton,20,06:00
06,107,Laverton,10,06:00
07,1038,Laverton,30,07:00
07,384,Laverton,20,07:00
07,88,Laverton,10,07:00
08,910,Laverton,30,08:00
08,347,Laverton,20,08:00
08,71,Laverton,10,08:00
09,995,Laverton,30,09:00
09,379,Laverton,20,09:00
09,80,Laverton,10,09:00
10,1127,Laverton,30,10:00
10,429,Laverton,20,10:00
10,87,Laverton,10,10:00
11,1107,Laverton,30,11:00
11,427,Laverton,20,11:00
11,83,Laverton,10,11:00
12,1083,Laverton,30,12:00
12,422,Laverton,20,12:00
12,83,Laverton,10,12:00
13,1106,Laverton,30,13:00
13,427,Laverton,20,13:00
13,84,Laverton,10,13:00
14,1090,Laverton,30,14:00
14,419,Laverton,20,14:00
14,80,Laverton,10,14:00
15,932,Laverton,30,15:00
15,358,Laverton,20,15:00
15,76,Laverton,10,15:00
16,877,Laverton,30,16:00
16,346,Laverton,20,16:00
16,73,Laverton,10,16:00
17,940,Laverton,30,17:00
17,364,Laverton,20,17:00
17,85,Laverton,10,17:00
18,1033,Laverton,30,18:00
18,403,Laverton,20,18:00
18,91,Laverton,10,18:00
19,1264,Laverton,30,19:00
19,460,Laverton,20,19:00
19,98,Laverton,10,19:00
20,1257,Laverton,30,20:00
20,468,Laverton,20,20:00
20,110,Laverton,10,20:00
21,1197,Laverton,30,21:00
21,448,Laverton,20,21:00
21,97,Laverton,10,21:00
22,1271,Laverton,30,22:00
22,474,Laverton,20,22:00
22,117,Laverton,10,22:00
23,1280,Laverton,30,23:00
23,481,Laverton,20,23:00
23,122,Laverton,10,23:00
00,743,Port of Brisbane,30,00:00
00,201,Port of Brisbane,20,00:00
00,21,Port of Brisbane,10,00:00
01,742,Port of Brisbane,30,01:00
01,193,Port of Brisbane,20,01:00
01,21,Port of Brisbane,10,01:00
02,760,Port of Brisbane,30,02:00
02,204,Port of Brisbane,20,02:00
02,21,Port of Brisbane,10,02:00
03,753,Port of Brisbane,30,03:00
03,201,Port of Brisbane,20,03:00
03,21,Port of Brisbane,10,03:00
04,746,Port of Brisbane,30,04:00
04,204,Port of Brisbane,20,04:00
04,20,Port of Brisbane,10,04:00
05,716,Port of Brisbane,30,05:00
05,199,Port of Brisbane,20,05:00
05,21,Port of Brisbane,10,05:00
06,673,Port of Brisbane,30,06:00
06,179,Port of Brisbane,20,06:00
06,20,Port of Brisbane,10,06:00
07,631,Port of Brisbane,30,07:00
07,164,Port of Brisbane,20,07:00
07,20,Port of Brisbane,10,07:00
08,599,Port of Brisbane,30,08:00
08,159,Port of Brisbane,20,08:00
08,20,Port of Brisbane,10,08:00
